kp_x,kd_x,kp_th,kd_th,ki_th,avg_steps
0.0,0.0,1.0,15.0,2.0,526.0
0.0,0.0,1.0,10.714285714285714,1.7777777777777777,487.0
0.0,0.0,1.0,12.857142857142858,1.3333333333333333,525.6666666666666
0.0,0.0,1.0,3.2142857142857144,1.1111111111111112,547.3333333333334
0.0,0.0,1.0,5.357142857142857,0.6666666666666666,708.6666666666666
0.0,0.0,1.0,15.0,1.7777777777777777,544.3333333333334
0.0,0.0,1.0,7.5,0.2222222222222222,763.0
0.0,0.0,1.0,8.571428571428571,2.0,446.3333333333333
0.0,0.0,1.0,10.714285714285714,1.5555555555555554,517.3333333333334
0.0,0.0,1.0,1.0714285714285714,1.1111111111111112,451.6666666666667
0.0,0.0,1.0,12.857142857142858,1.1111111111111112,557.0
0.0,0.0,1.0,3.2142857142857144,0.8888888888888888,770.3333333333334
0.0,0.0,1.0,15.0,1.5555555555555554,515.0
0.0,0.0,1.0,5.357142857142857,0.4444444444444444,745.3333333333334
0.0,0.0,1.0,7.5,0.0,201.33333333333334
0.0,0.0,1.0,8.571428571428571,1.7777777777777777,481.3333333333333
0.0,0.0,1.0,15.0,1.3333333333333333,545.3333333333334
0.0,0.0,1.0,10.714285714285714,1.3333333333333333,546.3333333333334
0.0,0.0,1.0,0.0,0.0,43.666666666666664
0.0,0.0,1.0,12.857142857142858,0.8888888888888888,657.3333333333334
0.0,0.0,1.0,3.2142857142857144,0.6666666666666666,906.3333333333334
0.0,0.0,1.0,5.357142857142857,0.2222222222222222,937.0
0.0,0.0,1.0,6.428571428571429,2.0,469.6666666666667
0.0,0.0,1.0,15.0,1.1111111111111112,540.6666666666666
0.0,0.0,1.0,8.571428571428571,1.5555555555555554,521.3333333333334
0.0,0.0,1.0,10.714285714285714,1.1111111111111112,595.0
0.0,0.0,1.0,0.0,0.4444444444444444,23.0
0.0,0.0,1.0,12.857142857142858,0.6666666666666666,641.3333333333334
0.0,0.0,1.0,3.2142857142857144,0.4444444444444444,955.3333333333334
0.0,0.0,1.0,12.857142857142858,2.0,440.0
0.0,0.0,1.0,5.357142857142857,0.0,271.3333333333333
0.0,0.0,1.0,1.0714285714285714,0.0,2677.3333333333335
0.0,0.0,1.0,15.0,0.8888888888888888,605.3333333333334
0.0,0.0,1.0,13.928571428571429,0.2222222222222222,598.3333333333334
0.0,0.0,1.0,1.0714285714285714,0.8888888888888888,1166.6666666666667
0.0,0.0,1.0,6.428571428571429,1.7777777777777777,510.6666666666667
0.0,0.0,1.0,8.571428571428571,1.3333333333333333,533.0
0.0,0.0,1.0,10.714285714285714,0.8888888888888888,535.3333333333334
0.0,0.0,1.0,15.0,0.6666666666666666,619.0
0.0,0.0,1.0,12.857142857142858,0.4444444444444444,692.3333333333334
0.0,0.0,1.0,3.2142857142857144,0.2222222222222222,1704.3333333333333
0.0,0.0,1.0,4.285714285714286,2.0,339.0
0.0,0.0,5.538461538461538,1.0714285714285714,1.7777777777777777,3553.6666666666665
0.0,0.0,1.0,6.428571428571429,1.5555555555555554,418.6666666666667
0.0,0.0,1.0,8.571428571428571,1.1111111111111112,449.3333333333333
0.0,0.0,1.0,15.0,0.4444444444444444,605.3333333333334
0.0,0.0,1.0,10.714285714285714,0.6666666666666666,747.6666666666666
0.0,0.0,1.0,0.0,1.3333333333333333,19.333333333333332
0.0,0.0,1.0,12.857142857142858,0.2222222222222222,530.6666666666666
0.0,0.0,1.0,3.2142857142857144,0.0,272.6666666666667
0.0,0.0,1.0,4.285714285714286,1.7777777777777777,397.6666666666667
0.0,0.0,1.0,15.0,0.2222222222222222,467.0
0.0,0.0,1.0,6.428571428571429,1.3333333333333333,540.6666666666666
0.0,0.0,1.0,8.571428571428571,0.8888888888888888,511.0
0.0,0.0,1.0,10.714285714285714,0.4444444444444444,713.3333333333334
0.0,0.0,1.0,12.857142857142858,0.0,217.0
0.0,0.0,1.0,2.142857142857143,2.0,252.33333333333334
0.0,0.0,1.0,1.0714285714285714,0.6666666666666666,5899.666666666667
0.0,0.0,1.0,15.0,0.0,228.0
0.0,0.0,1.0,4.285714285714286,1.5555555555555554,531.6666666666666
0.0,0.0,1.0,6.428571428571429,1.1111111111111112,530.3333333333334
0.0,0.0,5.538461538461538,1.0714285714285714,1.1111111111111112,2995.0
0.0,0.0,1.0,8.571428571428571,0.6666666666666666,579.0
0.0,0.0,1.0,0.0,1.1111111111111112,20.666666666666668
0.0,0.0,1.0,13.928571428571429,2.0,468.3333333333333
0.0,0.0,1.0,10.714285714285714,0.2222222222222222,602.6666666666666
0.0,0.0,1.0,11.785714285714285,2.0,414.3333333333333
0.0,0.0,1.0,2.142857142857143,1.7777777777777777,282.6666666666667
0.0,0.0,1.0,4.285714285714286,1.3333333333333333,461.0
0.0,0.0,5.538461538461538,1.0714285714285714,0.8888888888888888,2735.0
0.0,0.0,1.0,6.428571428571429,0.8888888888888888,564.0
0.0,0.0,1.0,13.928571428571429,1.7777777777777777,440.6666666666667
0.0,0.0,1.0,8.571428571428571,0.4444444444444444,646.3333333333334
0.0,0.0,1.0,2.142857142857143,1.5555555555555554,350.3333333333333
0.0,0.0,1.0,10.714285714285714,0.0,162.66666666666666
0.0,0.0,1.0,11.785714285714285,1.7777777777777777,482.6666666666667
0.0,0.0,1.0,4.285714285714286,1.1111111111111112,389.0
0.0,0.0,1.0,0.0,2.0,20.666666666666668
0.0,0.0,1.0,13.928571428571429,1.5555555555555554,483.3333333333333
0.0,0.0,1.0,6.428571428571429,0.6666666666666666,652.3333333333334
0.0,0.0,1.0,2.142857142857143,1.3333333333333333,380.0
0.0,0.0,1.0,8.571428571428571,0.2222222222222222,678.6666666666666
0.0,0.0,1.0,9.642857142857142,2.0,442.3333333333333
0.0,0.0,1.0,13.928571428571429,1.3333333333333333,563.3333333333334
0.0,0.0,1.0,11.785714285714285,1.5555555555555554,457.3333333333333
0.0,0.0,1.0,4.285714285714286,0.8888888888888888,556.6666666666666
0.0,0.0,1.0,2.142857142857143,1.1111111111111112,719.6666666666666
